file,year,cites,title,venue,doi,code_urls,code_mentions,datasets,simulators,methods,chars
2014_Prakash_Improved_Session_key_based_Certificate_to_Detect_Sybil_Attack_in_VANET.pdf,2014,2,Improved Session key based Certificate to Detect Sybil Attack in VANET,,,,,,,"Crypto/PKI/pseudonym, RSU-assisted",17135
2014_Suganya_Sybil_Attack_Detection_in_Urban_Vehicular_Networks.pdf,2014,0,Sybil Attack Detection in Urban Vehicular Networks,,,,,,,"Position/trajectory, Crypto/PKI/pseudonym, Blockchain, RSU-assisted",15964
2015_Grover_Multivariate_verification_for_sybil_attack_detection_in_VANET.pdf,2015,14,Multivariate verification for sybil attack detection in VANET,Open Computer Science,10.1515/comp-2015-0006,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Timestamp series",76855
2015_Jin_A_Traffic_Flow_Theory_Aided_Physical_MeasurementBased_Sybil_Nodes_Detection_Mechanism_in_V.pdf,2015,0,A Traffic Flow Theory Aided Physical Measurement-Based Sybil Nodes Detection Mechanism in Vehicular Ad-hoc Networks,The International journal of networked and distributed computing,10.2991/ijndc.2015.3.2.1,,,,,"RSSI/PHY, Crypto/PKI/pseudonym, Timestamp series",32860
2015_Kamani_A_Review_on_Sybil_Attack_Detection_Techniques.pdf,2015,7,A Review on Sybil Attack Detection Techniques,IJSRD : international journal for scientific research and development,,,,,,"RSSI/PHY, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",18174
2015_Kateshiya_ICMP_and_Monitoring_to_Detect_and_IsolateSybil_Attack_in_VANET.pdf,2015,0,ICMP and Monitoring to Detect and IsolateSybil Attack in VANET,International Journal of Innovative Research in Science Engineering and Technology,10.15680/ijirset.2015.0405056,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted",25090
2015_Kaur_Movement_Abnormality_Evaluation_Model_in_the_Partially_Centralized_VANETs_for_Prevention_A.pdf,2015,8,Movement Abnormality Evaluation Model in the Partially Centralized VANETs for Prevention Against Sybil Attack,International Journal of Modern Education and Computer Science,10.5815/ijmecs.2015.11.03,,,,,"Position/trajectory, ML/DL, Trust/reputation, RSU-assisted",29859
2015_Naveed_Detection_of_Sybil_Attacks_in_Vehicular_Ad_Hoc_Networks.pdf,2015,3,Detection of Sybil Attacks in Vehicular Ad Hoc Networks,Universal Journal of Communications and Network,10.13189/ujcn.2015.030103,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Timestamp series",57021
2015_Shete_VANET_Security_against_Sybil_Attack_by_Using_New_SRAN_Routing_Protocol.pdf,2015,1,VANET Security against Sybil Attack by Using New SRAN Routing Protocol,International Journal of Computer Applications Technology and Research,10.7753/ijcatr0407.1009,,,,,RSU-assisted,20378
2015_Soni_Sybil_Node_Detection_and_Prevention_Approach_on_Physical_Location_in_VANET.pdf,2015,2,Sybil Node Detection and Prevention Approach on Physical Location in VANET,International Journal of Computer Applications,10.5120/ijca2015906757,,,,,"Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Fog/edge/cloud",14019
2015_Tyagi_Preserving_Location_Privacy_in_Location_Based_Services_against_Sybil_Attacks.pdf,2015,16,Preserving Location Privacy in Location Based Services against Sybil Attacks,International Journal of Security and Its Applications,10.14257/ijsia.2015.9.12.18,,,,"NS-2, SUMO","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series, Fog/edge/cloud",75174
2015_anon_Mitigation_of_Sybil_Attack_Using_Location_Aware_Nodes_in_VANET.pdf,2015,1,Mitigation of Sybil Attack Using Location Aware Nodes in VANET,International Journal of Science and Research (IJSR),10.21275/v4i11.sub159163,,,,,"RSSI/PHY, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",21105
2016_Arora_Detect_the_Sybil_Attack_by_using_GPSR_Protocol.pdf,2016,0,Detect the Sybil Attack by using GPSR Protocol,International Journal of Computer Applications,10.5120/ijca2016910461,,,,,"RSSI/PHY, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Fog/edge/cloud",20885
2016_Chawla_Comparative_Analysis_of_Sybil_Attack_Detection_Techniques_in_VANETs.pdf,2016,3,Comparative Analysis of Sybil Attack Detection Techniques in VANETs,Indian Journal of Science and Technology,10.17485/ijst/2016/v9i47/106423,,,,,"Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",27560
2016_Feng_A_method_for_defensing_against_multisource_Sybil_attacks_in_VANET.pdf,2016,81,A method for defensing against multi-source Sybil attacks in VANET,Peer-to-Peer Networking and Applications,10.1007/s12083-016-0431-x,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Timestamp series",35852
2016_Minhas_Evaluation_of_Hybrid_framework_for_Detection_of_Sybil_Attack_in_VANET.pdf,2016,0,Evaluation of Hybrid framework for Detection of Sybil Attack in VANET,International Journal of Computer & Organization Trends,10.14445/22492593/ijcot-v33p306,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted",17497
2016_anon_Detecting_and_Avoiding_Sybil_Attack_in_OLSR_Protocol.pdf,2016,0,Detecting and Avoiding Sybil Attack in OLSR Protocol,International Journal of Science and Research (IJSR),10.21275/v5i5.19051604,,,,"NS-2, NS-3, SUMO","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Blockchain, RSU-assisted",27736
2017_Panchal_Segregation_of_Sybil_Attack_using_Neighbouring_Information_in_VANET.pdf,2017,7,Segregation of Sybil Attack using Neighbouring Information in VANET,IARJSET,10.17148/iarjset.2017.4631,,,,"NS-2, SUMO","RSSI/PHY, Position/trajectory, Trust/reputation, RSU-assisted, Timestamp series",24854
2017_Yuan_Voiceprint_A_Novel_Sybil_Attack_Detection_Method_Based_on_RSSI_for_VANETs.pdf,2017,0,Voiceprint: A Novel Sybil Attack Detection Method Based on RSSI for VANETs,IEEE Conference Proceedings,,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted",55193
2017_anon_A_Novel_Mechanism_of_Detection_of_Sybil_Attack_in_Vanet_using_Timestamp_Approach.pdf,2017,1,A Novel Mechanism of Detection of Sybil Attack in Vanet using Timestamp Approach,International Journal of Innovations in Engineering and Technology,10.21172/ijiet.81.028,,,,NS-2,"RSSI/PHY, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Timestamp series",17503
2018_Iwendi_On_Detection_of_Sybil_Attack_in_LargeScale_VANETs_Using_SpiderMonkey_Technique.pdf,2018,97,On Detection of Sybil Attack in Large-Scale VANETs Using Spider-Monkey Technique,IEEE Access,10.1109/access.2018.2864111,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted, Timestamp series, Fog/edge/cloud",47212
2018_Shaik_Broadcast_Message_Authentication_Mechanism_to_Detect_Clone_and_Sybil_attacks_in_VANETs_bas.pdf,2018,0,Broadcast Message Authentication Mechanism to Detect Clone and Sybil attacks in VANET’s based on ID-Based Signature Scheme,International Journal of Engineering & Technology,10.14419/ijet.v7i3.12.17770,,,,,"Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Timestamp series",56137
2018_Singh_Evaluation_of_proposed_technique_for_detection_of_Sybil_attack_in_VANET.pdf,2018,4,Evaluation of proposed technique for detection of Sybil attack in VANET,International Journal of Scientific Research in Computer Sciences and Engineering,10.26438/ijsrcse/v6i5.1015,,,,"NS-2, MATLAB","RSSI/PHY, RSU-assisted, Timestamp series",20715
2018_Toubi_Attacks_against_security_in_the_vehicular_network_and_the_impact_of_Sybil_attack_and_Black.pdf,2018,0,Attacks against security in the vehicular network and the impact of Sybil attack and Blackhole attack on the vehicular network performances: average Throughput as a study of case,DOAJ (DOAJ: Directory of Open Access Journals),10.57675/imist.prsm/ijist-v4i2.70,,,,NS-2,"Trust/reputation, RSU-assisted",44883
2019_Ayaida_A_Macroscopic_Traffic_Modelbased_Approach_for_Sybil_Attack_Detection_in_VANETs.pdf,2019,54,A Macroscopic Traffic Model-based Approach for Sybil Attack Detection in VANETs,Ad Hoc Networks,10.1016/j.adhoc.2019.01.010,,,,"NS-3, SUMO","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Timestamp series",50694
2019_Dutt_Defending_Against_Sybil_Attacks_by_Enhanced_Event_Based_Reputation_System_in_Vanet.pdf,2019,2,Defending Against Sybil Attacks by Enhanced Event Based Reputation System in Vanet,International Journal of Engineering and Advanced Technology,10.35940/ijeat.b3910.129219,,,,"OMNeT++, SUMO, Veins","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Timestamp series",26826
2019_Hamdan_Detecting_Sybil_attacks_in_vehicular_ad_hoc_networks.pdf,2019,36,Detecting Sybil attacks in vehicular ad hoc networks,International Journal of Parallel Emergent and Distributed Systems,10.1080/17445760.2019.1617865,,,,"NS-2, SUMO","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",31315
2019_Jose_SYBIL_ATTACK_DETECTION_IN_VANET_USING_SPIDER_MONKEY_TECHNIQUE_AND_ECC.pdf,2019,5,SYBIL ATTACK DETECTION IN VANET USING SPIDER -MONKEY TECHNIQUE AND ECC,International Journal of Wireless Communications and Network Technologies,10.30534/ijwcnt/2019/07832019,,,,,"Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, RSU-assisted",17987
2019_Kumar_Hash_Based_CoOperative_Method_To_Handle_Sybil_Attack_Sequences_In_Vehicular_Ad_Hoc_Network.pdf,2019,1,Hash Based Co-Operative Method To Handle Sybil Attack Sequences In Vehicular Ad Hoc Networks,International Journal of Engineering and Advanced Technology,10.35940/ijeat.f1190.0886s19,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Blockchain, RSU-assisted",36805
2019_Naveen_Increase_the_Performance__Security_in_VANET_using_Deduction_of_Sybil_Attack.pdf,2019,0,Increase the Performance & Security in VANET using Deduction of Sybil Attack,Asian Journal of Applied Research,10.20468/ajar/104368,,,,,"Crypto/PKI/pseudonym, ML/DL, RSU-assisted, Timestamp series",21617
2019_Pandey_Proactive_Defence_Technique_PDT_For_Vehicular_Ad_Hoc_Network_To_Protect_Against_Sybil_Atta.pdf,2019,0,Proactive Defence Technique (PDT) For Vehicular Ad Hoc Network To Protect Against Sybil Attack,International Journal of Engineering Trends and Technology,10.14445/22315381/ijett-v67i5p225,,,,NS-2,"Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",15693
2019_Samhitha_An_Efficient_Implementation_of_a_Method_to_Detect_Sybil_Attacks_in_Vehicular_Ad_hoc_Networ.pdf,2019,17,An Efficient Implementation of a Method to Detect Sybil Attacks in Vehicular Ad hoc Networks using Received Signal Strength Indicator,International Journal of Innovative Technology and Exploring Engineering,10.35940/ijitee.i7604.119119,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted",25673
2020_Baza_Detecting_Sybil_Attacks_Using_Proofs_of_Work_and_Location_in_VANETs.pdf,2020,21,Detecting Sybil Attacks Using Proofs of Work and Location in VANETs,IEEE Transactions on Dependable and Secure Computing,10.1109/tdsc.2020.2993769,,,,SUMO,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, RSU-assisted, Timestamp series",75461
2020_Kabbur_MARSybil_Cooperative_RSU_Based_Detection_and_Prevention_of_Sybil_Attacks_in_Routing_Proces.pdf,2020,18,MAR_Sybil: Cooperative RSU Based Detection and Prevention of Sybil Attacks in Routing Process of VANET,Journal of Physics Conference Series,10.1088/1742-6596/1427/1/012009,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Timestamp series, Fog/edge/cloud",32548
2020_Kumar_Sybil_Attack_Detection_in_Vehicular_Adhoc_Networks_using_Direct_Trust_Calculation.pdf,2020,1,Sybil Attack Detection in Vehicular Ad-hoc Networks using Direct Trust Calculation,International Journal of Innovative Technology and Exploring Engineering,10.35940/ijitee.j7392.0891020,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series",36220
2020_Preetha_A_SURVEY_OF_SYBIL_ATTACK_DETECTION_IN_VANETS.pdf,2020,1,A SURVEY OF SYBIL ATTACK DETECTION IN VANETS,International Journal of Engineering Applied Sciences and Technology,10.33564/ijeast.2020.v04i11.047,,,,,"RSSI/PHY, Position/trajectory, Trust/reputation, RSU-assisted",18692
2020_Rhamdhan_Hybrid_Trustbased_Defense_Mechanisms_Against_Sybil_Attack_in_Vehicular_Adhoc_Networks.pdf,2020,4,Hybrid Trust-based Defense Mechanisms Against Sybil Attack in Vehicular Ad-hoc Networks,"Proceedings of the Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, MSCEIS 2019, 12 October 2019, Bandung, West Java, Indonesia",10.4108/eai.12-10-2019.2296524,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted",25444
2020_anon_Sybil_Attack_Behavior_Detection_for_V2x_Based_on_Traffic_Statistics.pdf,2020,2,Sybil Attack Behavior Detection for V2x Based on Traffic Statistics,Computer Science and Application,10.12677/csa.2020.1012229,,,F2MD,"OMNeT++, SUMO, Veins","Crypto/PKI/pseudonym, ML/DL, RSU-assisted",17362
2021_Amandeep_Sybil_attack_detection_in_VAVET_by_using_neighbouring_vehicles_in_Wireless_Sensor_Networks.pdf,2021,0,Sybil attack detection in VAVET by using neighbouring vehicles in Wireless Sensor Networks,International journal of advance research and innovative ideas in education,,,,,NS-2,"RSSI/PHY, RSU-assisted, Timestamp series",16386
2021_Funderburg_A_PrivacyPreserving_Key_Management_Scheme_with_Support_for_Sybil_Attack_Detection_in_VANET.pdf,2021,24,A Privacy-Preserving Key Management Scheme with Support for Sybil Attack Detection in VANETs,Sensors,10.3390/s21041063,,,,,"Crypto/PKI/pseudonym, Blockchain, RSU-assisted",68414
2021_Stpie_Security_Measures_with_Enhanced_Behavior_Processing_and_Footprint_Algorithm_against_Sybil.pdf,2021,15,Security Measures with Enhanced Behavior Processing and Footprint Algorithm against Sybil and Bogus Attacks in Vehicular Ad Hoc Network,Sensors,10.3390/s21103538,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series",65169
2021_Velayudhan_Sybil_Attack_with_RSU_Detection_and_Location_Privacy_in_Urban_VANETs_an_Efficient_EPORP_Te.pdf,2021,8,Sybil Attack with RSU Detection and Location Privacy in Urban VANETs- an Efficient EPORP Technique,Research Square,10.21203/rs.3.rs-680396/v1,,,,"NS-2, NS-3, SUMO, MATLAB","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Fog/edge/cloud",61197
2022_Ardakani_Fuzzy_clustering_algorithm_to_identify_Sybil_attacks_in_Vehicular_ad_hoc_networks.pdf,2022,0,Fuzzy clustering algorithm to identify Sybil attacks in Vehicular ad hoc networks,Research Square,10.21203/rs.3.rs-2216291/v1,,,,MATLAB,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted",60348
2022_Azam_Collaborative_Learning_Based_Sybil_Attack_Detection_in_Vehicular_ADHOC_Networks_VANETS.pdf,2022,65,Collaborative Learning Based Sybil Attack Detection in Vehicular AD-HOC Networks (VANETS),Sensors,10.3390/s22186934,,,VeReMi,"NS-2, SUMO","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Timestamp series",67787
2022_Chaubey_Detection_of_Sybil_attack_in_vehicular_ad_hoc_networks_by_analyzing_network_performance.pdf,2022,14,Detection of Sybil attack in vehicular ad hoc networks by analyzing network performance,International Journal of Power Electronics and Drive Systems/International Journal of Electrical and Computer Engineering,10.11591/ijece.v12i2.pp1703-1710,,,,"NS-3, SUMO","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted, Timestamp series, Fog/edge/cloud",32252
2022_Helmi_Sybil_Attack_Prediction_on_Vehicle_Network_Using_Deep_Learning.pdf,2022,6,Sybil Attack Prediction on Vehicle Network Using Deep Learning,Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi),10.29207/resti.v6i3.4089,,,,,"Crypto/PKI/pseudonym, ML/DL, RSU-assisted, Timestamp series",28650
2022_Junaidi_Secure_Vehicular_Platoon_Management_against_Sybil_Attacks.pdf,2022,11,Secure Vehicular Platoon Management against Sybil Attacks,Sensors,10.3390/s22229000,,,,"OMNeT++, SUMO, Veins, MATLAB","Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series, Fog/edge/cloud",132950
2022_Kakulla_Sybil_Attack_Detection_in_VANET_Using_Machine_Learning_Approach.pdf,2022,8,Sybil Attack Detection in VANET Using Machine Learning Approach,Ingénierie des systèmes d information,10.18280/isi.270410,,,,"SUMO, Python/sklearn/TF","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, RSU-assisted",38438
2023_Akil_NonInteractive_PrivacyPreserving_SybilFree_Authentication_Scheme_in_VANETs.pdf,2023,5,Non-Interactive Privacy-Preserving Sybil-Free Authentication Scheme in VANETs,,10.14722/vehiclesec.2023.23007,,,,,"Crypto/PKI/pseudonym, Blockchain, RSU-assisted, Timestamp series",43579
2023_Bhanja_Detection_of_Sybil__DDoS_Attacks_in_VANET_using_Intelligent_Technique.pdf,2023,0,Detection of Sybil & DDoS Attacks in VANET using Intelligent Technique,Research Square,10.21203/rs.3.rs-3187938/v1,,,,"OMNeT++, SUMO, Veins","Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Timestamp series",48910
2023_Noman_Techniques_to_Overcome_Network_Attacks_Sybil_Attack_Jamming_Attack_Timing_Attack_in_VANET.pdf,2023,4,"Techniques to Overcome Network Attacks (Sybil Attack, Jamming Attack, Timing Attack) in VANET",Journal of The Colloquium for Information Systems Security Education,10.53735/cisse.v10i1.174,,,,OPNET,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted, Timestamp series",34707
2023_Paranjothi_Enhancing_Security_in_VANETs_with_Sybil_Attack_Detection_using_Fog_Computing.pdf,2023,5,Enhancing Security in VANETs with Sybil Attack Detection using Fog Computing,,10.1109/vtc2023-fall60731.2023.10333491,,,,"OMNeT++, SUMO","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Timestamp series, Fog/edge/cloud",30311
2023_Vani_Detecting_Sybil_Attacks_using_Proofs_of_Work_and_Location_in_VANETs.pdf,2023,0,Detecting Sybil Attacks using Proofs of Work and Location in VANETs,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21581212,,,,NS-2,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Blockchain, Trust/reputation, RSU-assisted",17270
2024_Almazroi_FCLSR_Fog_ComputingBased_Lightweight_Sybil_Resistant_Scheme_in_5GEnabled_Vehicular_Network.pdf,2024,16,FC-LSR: Fog Computing-Based Lightweight Sybil Resistant Scheme in 5G-Enabled Vehicular Networks,IEEE Access,10.1109/access.2024.3368393,,,,,"Crypto/PKI/pseudonym, ML/DL, Blockchain, RSU-assisted, Timestamp series, Fog/edge/cloud",66926
2024_Guven_Creating_A_Realistic_Sybil_Attack_Dataset_For_Intervehicle_Communication.pdf,2024,0,Creating A Realistic Sybil Attack Dataset For Inter-vehicle Communication,Research Square,10.21203/rs.3.rs-5417476/v1,https://github.com/V,"The complete Vein s project, source code, a 25-minute sample dataset, and accompanying doc umentation are available on GitHub 1 ;; O ur dataset simulates a signiﬁcantly larger geographical area, roughly seven times the size of 1https://github ;; ly, we deﬁned a versatile dataset format for easy use in various development en vironments and published our simulation source code, settings, scenarios, and sam ple output","VeReMi, VeReMi Extension, LuST (Luxembourg), F2MD","NS-3, SUMO, Veins","RSSI/PHY, Crypto/PKI/pseudonym, ML/DL, Timestamp series",70499
2024_Khatri_Sybil_AttackResistant_BlockchainBased_ProofofLocation_Mechanism_with_Privacy_Protection_in.pdf,2024,12,Sybil Attack-Resistant Blockchain-Based Proof-of-Location Mechanism with Privacy Protection in VANET,Sensors,10.3390/s24248140,,,,"OMNeT++, SUMO, Veins","RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series",75419
2024_Man_Strong_Anonymous_Batch_Authentication_Scheme_Against_Sybil_Attack_in_VANET.pdf,2024,0,Strong Anonymous Batch Authentication Scheme Against Sybil Attack in VANET,Research Square,10.21203/rs.3.rs-5417485/v1,,ing robust support for pairwise operations and aligning well with the research objectives of this paper (citing from GitHub - mschoenebeck/bls12-381),,,"Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series",79763
2024_Morton_TrustAware_Sybil_Attack_Detection_for_Resilient_Vehicular_Communication.pdf,2024,2,Trust‐Aware Sybil Attack Detection for Resilient Vehicular Communication,Internet Technology Letters,10.1002/itl2.617,,,,"OMNeT++, SUMO, Veins","Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series",28788
2024_Pal_Proposed_approach_for_securing_VANET_by_detection_and_avoidance_of_Sybil_attack.pdf,2024,0,Proposed approach for securing VANET by detection and avoidance of Sybil attack,Journal of Discrete Mathematical Sciences and Cryptography,10.47974/jdmsc-1905,,,,NS-2,"Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",15303
2025_Almesaeed_Realtime_Sybil_Attack_Detection_Based_on_Channel_Characterization_in_VANET.pdf,2025,0,Real-time Sybil Attack Detection Based on Channel Characterization in VANET,International Journal of Computer Network and Information Security,10.5815/ijcnis.2025.04.05,,,,MATLAB,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, ML/DL, Blockchain, Trust/reputation, RSU-assisted, Timestamp series, Fog/edge/cloud",59005
