have_pdf,year,cites,title,authors,venue,doi,topics,file,pdf_url,landing
,2018,49,Secure Communication and Implementation Technique for Sybil Attack in Vehicular Ad-Hoc Networks,Mukesh Soni; Anuj Kumar Jain,,10.1109/iccmc.2018.8487887,Other / general Sybil defence,,,https://doi.org/10.1109/iccmc.2018.8487887
,2017,49,Voiceprint: A Novel Sybil Attack Detection Method Based on RSSI for VANETs,Yuan Yao; Bin Xiao; Gaofei Wu; Xue Liu; Zhiwen Yu; Kailong Zhang; Xingshe Zhou,,10.1109/dsn.2017.10,RSSI / signal-strength & PHY; RSU / infrastructure-assisted; Datasets & simulation,,http://ira.lib.polyu.edu.hk/bitstream/10397/105654/1/Xiao_Voiceprint_Novel_Sybil.pdf,https://doi.org/10.1109/dsn.2017.10
,2015,48,Cross-layer scheme for detecting large-scale colluding Sybil attack in VANETs,Khaled Rabieh; Mohamed Mahmoud; Terry N. Guo; Mohamed Younis,,10.1109/icc.2015.7249492,RSU / infrastructure-assisted,,,https://doi.org/10.1109/icc.2015.7249492
,2013,44,Defense against Sybil attack in the initial deployment stage of vehicular ad hoc network based on roadside unit support,Soyoung Park; Baber Aslam; Damla Turgut; Cliff C. Zou,Security and Communication Networks,10.1002/sec.679,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,https://stars.library.ucf.edu/facultybib2010/4508,https://doi.org/10.1002/sec.679
,2010,43,A novel defense mechanism against sybil attacks in VANET,Jyoti Grover; Manoj Singh Gaur; Vijay Laxmi,,10.1145/1854099.1854150,RSSI / signal-strength & PHY; Position / trajectory verification; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1145/1854099.1854150
,2013,39,LSR: Mitigating Zero-Day Sybil Vulnerability in Privacy-Preserving Vehicular Peer-to-Peer Networks,Xiaodong Lin,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2013.sup.0513021,"Cryptography, PKI & pseudonyms; Trust / reputation; Datasets & simulation",,http://arxiv.org/abs/2204.13843,https://doi.org/10.1109/jsac.2013.sup.0513021
,2021,38,Sybil attack detection and secure data transmission in VANET using CMEHA-DNN and MD5-ECC,Nitha C. Velayudhan; A. Anitha; Mukesh Madanan,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-021-03379-3,Other / general Sybil defence,,,https://doi.org/10.1007/s12652-021-03379-3
,2017,37,INTERLOC: An interference-aware RSSI-based localization and sybil attack detection mechanism for vehicular ad hoc networks,Mevlut Turker Garip; Paul Hyungmin Kim; Peter Reiher; Mário Gerla,,10.1109/ccnc.2017.8013424,RSSI / signal-strength & PHY; Position / trajectory verification; Datasets & simulation,,,https://doi.org/10.1109/ccnc.2017.8013424
,2016,37,Sybil attack prevention and detection in vehicular ad hoc network,Aravendra Kumar Sharma; Sushil Kumar Saroj; Sanjeev Chauhan; Sachin Kumar Saini,,10.1109/ccaa.2016.7813790,"Cryptography, PKI & pseudonyms",,,https://doi.org/10.1109/ccaa.2016.7813790
YES,2019,36,Detecting Sybil attacks in vehicular ad hoc networks,Salam Hamdan; Amjad Hudaib; Arafat Awajan,International Journal of Parallel Emergent and Distributed Systems,10.1080/17445760.2019.1617865,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Datasets & simulation",pdfs/2019_Hamdan_Detecting_Sybil_attacks_in_vehicular_ad_hoc_networks.pdf,https://arxiv.org/pdf/1905.03507,https://doi.org/10.1080/17445760.2019.1617865
,2017,36,k-Nearest Neighbours classification based Sybil attack detection in Vehicular networks,Pengwenlong Gu; Rida Khatoun; Youcef Begriche; Ahmed Serhrouchni,,10.1109/mobisecserv.2017.7886565,"Cryptography, PKI & pseudonyms; Machine learning / deep learning; Datasets & simulation",,,https://doi.org/10.1109/mobisecserv.2017.7886565
,2023,35,MDFD: A multi-source data fusion detection framework for Sybil attack detection in VANETs,Ye Chen; Yingxu Lai; Zhaoyi Zhang; Hanmei Li; Yuhang Wang,Computer Networks,10.1016/j.comnet.2023.109608,Other / general Sybil defence,,,https://doi.org/10.1016/j.comnet.2023.109608
,2017,35,Effects of colluding Sybil nodes in message falsification attacks for vehicular platooning,Felipe Boeira; Marinho Barcellos; Edison Pignaton de Freitas; Alexey Vinel; Mikael Asplund,,10.1109/vnc.2017.8275641,Trust / reputation,,,https://doi.org/10.1109/vnc.2017.8275641
,2014,32,On Secure and Privacy-Aware Sybil Attack Detection in Vehicular Communications,Rasheed Hussain; Heekuck Oh,Wireless Personal Communications,10.1007/s11277-014-1659-5,Other / general Sybil defence,,,https://doi.org/10.1007/s11277-014-1659-5
,2023,30,Highly accurate sybil attack detection in vanet using extreme learning machine with preserved location,Allam Balaram; Shaik Abdul Nabi; Koppula Srinivas Rao; Neeraja Koppula,Wireless Networks,10.1007/s11276-023-03399-1,Other / general Sybil defence,,,https://doi.org/10.1007/s11276-023-03399-1
,2021,30,"Detecting Sybil Attack in Vehicular Ad-hoc Networks (Vanets) by Using Fitness Function, Signal Strength Index and Throughput",Seyed Salar Sefati; Sara Ghiasi Tabrizi,Wireless Personal Communications,10.1007/s11277-021-09261-x,RSSI / signal-strength & PHY,,,https://doi.org/10.1007/s11277-021-09261-x
,2016,30,ASAP -V: A privacy-preserving authentication and sybil detection protocol for VANETs,Thiago B. M. Sales; Ângelo Perkusich; Leandro Melo de Sales; Hyggo Almeida; Gustavo Soares; Marcello de Sales,Information Sciences,10.1016/j.ins.2016.08.024,"Cryptography, PKI & pseudonyms",,,https://doi.org/10.1016/j.ins.2016.08.024
,2014,29,Sybil attack detection in VANET using neighbouring vehicles,Jyoti Grover; Vijay Laxmi; Manoj Singh Gaur,International Journal of Security and Networks,10.1504/ijsn.2014.066178,Other / general Sybil defence,,,https://doi.org/10.1504/ijsn.2014.066178
,2022,28,Effect Sybil attack on security Authentication Service in VANET,Mustafa Maad Hamdi; Majeed Dhafer; Ahmed Shamil Mustafa; Sami Abduljabbar Rashid; Ahmed Jamal Ahmed; Ahmed Muhi Shantaf,"2022 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)",10.1109/hora55278.2022.9799810,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Routing-protocol impact",,,https://doi.org/10.1109/hora55278.2022.9799810
,2020,28,A Sybil Attack Detection Scheme based on ADAS Sensors for Vehicular Networks,Kiho Lim; Tarikul Islam; Hyunbum Kim; Jingon Joung,,10.1109/ccnc46108.2020.9045356,Machine learning / deep learning; Trust / reputation; RSU / infrastructure-assisted,,,https://doi.org/10.1109/ccnc46108.2020.9045356
,2018,27,Sybil Attack Detection in Urban VANETs Based on RSU Support,Hamid Hamed; Alireza Keshavarz‐Haddad; Shapour Golbahar Haghighi,,10.1109/icee.2018.8472629,RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/icee.2018.8472629
,2017,27,Sybil attack detection technique using session key certificate in vehicular ad hoc networks,D. Srinivas Reddy; V. Bapuji; A. Govardhan; Samar Sen Sarma,"2017 International Conference on Algorithms, Methodology, Models and Applications in Emerging Technologies (ICAMMAET)",10.1109/icammaet.2017.8186733,"Cryptography, PKI & pseudonyms",,,https://doi.org/10.1109/icammaet.2017.8186733
,2015,27,Sybil attack detection using a low cost short group signature in VANET,Mahdiyeh Alimohammadi; Ali A. Pouyan,,10.1109/iscisc.2015.7387893,"Cryptography, PKI & pseudonyms",,,https://doi.org/10.1109/iscisc.2015.7387893
,2020,26,An Effective Privacy-Aware Sybil Attack Detection Scheme for Secure Communication in Vehicular Ad Hoc Network,Mahdiyeh Parham; Ali A. Pouyan,Wireless Personal Communications,10.1007/s11277-020-07272-8,Other / general Sybil defence,,,https://doi.org/10.1007/s11277-020-07272-8
,2022,24,Detecting Sybil Attacks in Vehicular Fog Networks Using RSSI and Blockchain,Sarra Benadla; Omar Rafik Merad Boudia; Sidi‐Mohammed Senouci; Mohamed Lehsaini,IEEE Transactions on Network and Service Management,10.1109/tnsm.2022.3216073,RSSI / signal-strength & PHY; Position / trajectory verification; Blockchain / distributed ledger; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/tnsm.2022.3216073
YES,2021,24,A Privacy-Preserving Key Management Scheme with Support for Sybil Attack Detection in VANETs,L. Ellen Funderburg; Im-Yeong Lee,Sensors,10.3390/s21041063,"Cryptography, PKI & pseudonyms; Trust / reputation",pdfs/2021_Funderburg_A_PrivacyPreserving_Key_Management_Scheme_with_Support_for_Sybil_Attack_Detection_in_VANET.pdf,https://www.mdpi.com/1424-8220/21/4/1063/pdf?version=1612499908,https://doi.org/10.3390/s21041063
,2022,23,Detecting sybil attacks in vehicular ad hoc networks using fuzzy logic and arithmetic optimization algorithm,Mahdi Maleknasab Ardakani; Mohammad Ali Tabarzad; Mohammad Amin Shayegan,The Journal of Supercomputing,10.1007/s11227-022-04526-z,Trust / reputation,,,https://doi.org/10.1007/s11227-022-04526-z
,2016,23,A Survey on VANETs Security Attacks and Sybil Attack Detection,Chaitanya Kumar Karn; Chandra P. Gupta,International Journal of Sensors Wireless Communications and Control,10.2174/2210327905999151103170103,RSU / infrastructure-assisted; Surveys & reviews; Routing-protocol impact,,,https://doi.org/10.2174/2210327905999151103170103
,2023,22,Detection method to eliminate Sybil attacks in Vehicular Ad-hoc Networks,Zhaoyi Zhang; Yingxu Lai; Ye Chen; Jingwen Wei; Yuhang Wang,Ad Hoc Networks,10.1016/j.adhoc.2023.103092,Other / general Sybil defence,,,https://doi.org/10.1016/j.adhoc.2023.103092
,2014,22,Prevention of Sybil attack and priority batch verification in VANETs,P. Vinoth Kumar; Mukesh Kumar Maheshwari,,10.1109/icices.2014.7033926,RSU / infrastructure-assisted,,,https://doi.org/10.1109/icices.2014.7033926
,2022,21,Sybil Attack Detection in VANETs using an AdaBoost Classifier,Dhia Eddine Laouiti; Marwane Ayaida; Nadhir Messai; Sameh Najeh; Leïla Najjar; Ferdaous Chaabane,2022 International Wireless Communications and Mobile Computing (IWCMC),10.1109/iwcmc55113.2022.9824974,Machine learning / deep learning; Datasets & simulation,,,https://doi.org/10.1109/iwcmc55113.2022.9824974
,2021,21,RETRACTED ARTICLE: Sybil Attack with RSU Detection and Location Privacy in Urban VANETs: An Efficient EPORP Technique,Nitha C. Velayudhan; A. Anitha; Mukesh Madanan,Wireless Personal Communications,10.1007/s11277-021-09102-x,RSU / infrastructure-assisted,,https://www.researchsquare.com/article/rs-680396/latest.pdf,https://doi.org/10.1007/s11277-021-09102-x
,2020,21,A Taxonomy of Sybil Attacks in Vehicular Ad-Hoc Network (VANET),Nirbhay Kumar Chaubey; Dhananjay Yadav,Advances in computational intelligence and robotics book series,10.4018/978-1-7998-2570-8.ch009,RSU / infrastructure-assisted; Surveys & reviews,,,https://doi.org/10.4018/978-1-7998-2570-8.ch009
YES,2020,21,Detecting Sybil Attacks Using Proofs of Work and Location in VANETs,Mohamed Baza; Mahmoud Nabil; Mohamed Mahmoud; Niclas Bewermeier; Kemal Fidan; Waleed Alasmary; Mohamed Abdallah,IEEE Transactions on Dependable and Secure Computing,10.1109/tdsc.2020.2993769,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2020_Baza_Detecting_Sybil_Attacks_Using_Proofs_of_Work_and_Location_in_VANETs.pdf,https://arxiv.org/pdf/1904.05845,https://doi.org/10.1109/tdsc.2020.2993769
,2018,21,Sybil attack prevention through identity symmetric scheme in vehicular ad-hoc networks,Mohamed Khalil; Marianne A. Azer,,10.1109/wd.2018.8361717,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,,https://doi.org/10.1109/wd.2018.8361717
YES,2014,21,A Survey on Sybil Attack in Vehicular Ad-hoc Network,Deepak Kushwaha; Piyush Kumar Shukla; Raju Baraskar,International Journal of Computer Applications,10.5120/17262-7614,"Cryptography, PKI & pseudonyms; Trust / reputation; Surveys & reviews",pdfs/2014_Kushwaha_A_Survey_on_Sybil_Attack_in_Vehicular_Adhoc_Network.pdf,https://doi.org/10.5120/17262-7614,https://doi.org/10.5120/17262-7614
,2014,20,Sybil Attack Detection in Vehicular Networks,Ali A. Pouyan; Mahdiyeh Alimohammadi,Computer Science and Information Technology,10.13189/csit.2014.020403,Other / general Sybil defence,,http://www.hrpub.org/download/20140305/CSIT3-13500802.pdf,https://doi.org/10.13189/csit.2014.020403
,2024,19,Achieving Multi-Attribute Superiority and Sybil Attack Detection in IoV: A Heuristic-Based Dynamic RSU Deployment Scheme,Hongzhi Guo; Xinhan Wu; Zishuo Yin; Bomin Mao; Yijie Xun; Jiajia Liu; Wu Chen,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2024.3509980,RSU / infrastructure-assisted,,,https://doi.org/10.1109/tits.2024.3509980
,2020,19,Blockchain-based Multi-Levels Trust Mechanism Against Sybil Attacks for Vehicular Networks,Achref Haddaji; Samiha Ayed; Lamia Chaari Fourati,,10.1109/bigdatase50710.2020.00028,Machine learning / deep learning; Blockchain / distributed ledger; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/bigdatase50710.2020.00028
,2017,19,Distributed consensus-based Sybil nodes detection in VANETs,Chea Sowattana; Wantanee Viriyasitavat; Assadarat Khurat,,10.1109/jcsse.2017.8025908,Blockchain / distributed ledger; RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/jcsse.2017.8025908
,2012,19,Privacy-Aware VANET Security: Putting Data-Centric Misbehavior and Sybil Attack Detection Schemes into Practice,Rasheed Hussain; Sangjin Kim; Heekuck Oh,Lecture notes in computer science,10.1007/978-3-642-35416-8_21,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-642-35416-8_21
YES,2011,19,Efficient Detection of Sybil attack Based on Cryptography in Vanet,Mina Rahbari; Mohammad Ali Jabraeil Jamali,International Journal of Network Security & Its Applications,10.5121/ijnsa.2011.3614,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Surveys & reviews",pdfs/2011_Rahbari_Efficient_Detection_of_Sybil_attack_Based_on_Cryptography_in_Vanet.pdf,https://doi.org/10.5121/ijnsa.2011.3614,https://doi.org/10.5121/ijnsa.2011.3614
,2024,18,Sybil Attack Detection Based on Signal Clustering in Vehicular Networks,Halit Bugra Tulay; C. Emre Koksal,IEEE Transactions on Machine Learning in Communications and Networking,10.1109/tmlcn.2024.3410208,Routing-protocol impact; Datasets & simulation,,https://doi.org/10.1109/tmlcn.2024.3410208,https://doi.org/10.1109/tmlcn.2024.3410208
YES,2020,18,MAR_Sybil: Cooperative RSU Based Detection and Prevention of Sybil Attacks in Routing Process of VANET,Mahabaleshwar Kabbur; V. Arul Kumar,Journal of Physics Conference Series,10.1088/1742-6596/1427/1/012009,RSU / infrastructure-assisted; Routing-protocol impact,pdfs/2020_Kabbur_MARSybil_Cooperative_RSU_Based_Detection_and_Prevention_of_Sybil_Attacks_in_Routing_Proces.pdf,https://iopscience.iop.org/article/10.1088/1742-6596/1427/1/012009/pdf,https://doi.org/10.1088/1742-6596/1427/1/012009
,2019,18,Defending against Sybil Attacks in Vehicular Platoons,Jesty Santhosh; Sriram Sankaran,,10.1109/ants47819.2019.9117945,"Cryptography, PKI & pseudonyms; Datasets & simulation",,,https://doi.org/10.1109/ants47819.2019.9117945
,2016,18,Vehicle Driving Pattern Based Sybil Attack Detection,Pengwenlong Gu; Rida Khatoun; Youcef Begriche; Ahmed Serhrouchni,,10.1109/hpcc-smartcity-dss.2016.0182,"Cryptography, PKI & pseudonyms; Machine learning / deep learning; Datasets & simulation",,,https://doi.org/10.1109/hpcc-smartcity-dss.2016.0182
,2015,18,Isolation of Sybil attack in VANET using neighboring information,Mandeep Kaur Saggi; Ranjeet Kaur,,10.1109/iadcc.2015.7154666,RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/iadcc.2015.7154666
YES,2019,17,An Efficient Implementation of a Method to Detect Sybil Attacks in Vehicular Ad hoc Networks using Received Signal Strength Indicator,Ms. Keerthi Samhitha; Ms. Suja Cherukulapurath Mana; Ms. Jithina Jose; Mr. Mohith; Mr. Siva Chandrahasa Reddy,International Journal of Innovative Technology and Exploring Engineering,10.35940/ijitee.i7604.119119,RSSI / signal-strength & PHY,pdfs/2019_Samhitha_An_Efficient_Implementation_of_a_Method_to_Detect_Sybil_Attacks_in_Vehicular_Ad_hoc_Networ.pdf,https://doi.org/10.35940/ijitee.i7604.119119,https://doi.org/10.35940/ijitee.i7604.119119
,2014,17,Sybil attack detection in vehicular network based on received signal strength,Rakesh Shrestha; Sirojiddin Djuraev; Seung Yeob Nam,,10.1109/iccve.2014.7297649,RSSI / signal-strength & PHY; Position / trajectory verification; Trust / reputation,,,https://doi.org/10.1109/iccve.2014.7297649
,2014,17,A Traffic Flow Theory Aided Physical Measurement-Based Sybil Nodes Detection Mechanism in Vehicular Ad-hoc Networks,Dongxu Jin; JooSeok Song,,10.1109/icis.2014.6912147,RSU / infrastructure-assisted; Datasets & simulation,,https://download.atlantis-press.com/article/16390.pdf,https://doi.org/10.1109/icis.2014.6912147
,2013,17,A privacy preserving solution for the protection against sybil attacks in vehicular ad hoc networks,Bayrem Triki; Slim Rekhis; M'hamed Chammem; N. Boudriga,,10.1109/wmnc.2013.6549051,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted; Datasets & simulation",,,https://doi.org/10.1109/wmnc.2013.6549051
YES,2024,16,FC-LSR: Fog Computing-Based Lightweight Sybil Resistant Scheme in 5G-Enabled Vehicular Networks,Abdulwahab Ali Almazroi; Monagi H. Alkinani; ‪Mahmood A. Al-Shareeda‬‏; Mohammed A. Alqarni; Alaa Atallah Almazroey; Tarek Gaber,IEEE Access,10.1109/access.2024.3368393,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2024_Almazroi_FCLSR_Fog_ComputingBased_Lightweight_Sybil_Resistant_Scheme_in_5GEnabled_Vehicular_Network.pdf,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10440634.pdf,https://doi.org/10.1109/access.2024.3368393
,2022,16,An Optimisation driven Deep Residual Network for Sybil attack detection with reputation and trust-based misbehaviour detection in VANET,Nitha C. Velayudhan; A. Anitha; Mukesh Madanan,Journal of Experimental & Theoretical Artificial Intelligence,10.1080/0952813x.2022.2104387,Trust / reputation; RSU / infrastructure-assisted; Routing-protocol impact,,,https://doi.org/10.1080/0952813x.2022.2104387
,2020,16,Timestamp Based Detection of Sybil Attack in VANET.,Syed Mohd Faisal; Taskeen Zaidi,,,Other / general Sybil defence,,,https://dblp.uni-trier.de/db/journals/ijnsec/ijnsec22.html#FaisalZ20
YES,2015,16,Preserving Location Privacy in Location Based Services against Sybil Attacks,Amit Kumar Tyagi; N. Sreenath,International Journal of Security and Its Applications,10.14257/ijsia.2015.9.12.18,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2015_Tyagi_Preserving_Location_Privacy_in_Location_Based_Services_against_Sybil_Attacks.pdf,https://doi.org/10.14257/ijsia.2015.9.12.18,http://doi.org/10.14257/ijsia.2015.9.12.18
YES,2014,16,Detecting Sybil attacks in vehicular networks,Muhammad Ibrahim Almutaz; Levi Malott; Sriram Chellappan,Journal of Trust Management,10.1186/2196-064x-1-4,Trust / reputation; RSU / infrastructure-assisted,pdfs/2014_Almutaz_Detecting_Sybil_attacks_in_vehicular_networks.pdf,https://journaloftrustmanagement.springeropen.com/track/pdf/10.1186/2196-064X-1-4,https://doi.org/10.1186/2196-064x-1-4
,2010,16,Performance Evaluation and Detection of Sybil Attacks in Vehicular Ad-Hoc Networks,Jyoti Grover; Deepak Kumar; M. Sargurunathan; Manoj Singh Gaur; Vijay Laxmi,Communications in computer and information science,10.1007/978-3-642-14478-3_47,Other / general Sybil defence,,,https://doi.org/10.1007/978-3-642-14478-3_47
